Rainfall,Year,Month
11.3237,1921,Mar
54.3136,1921,Apr
99.8198,1921,May
73.31,1921,Jun
163.61,1921,Jul
117.754,1921,Aug
101.621,1921,Sep
53.6828,1921,Oct
21.0268,1921,Nov
4.16149,1921,Dec
2.30922,1922,Jan
16.9838,1922,Feb
32.3286,1922,Mar
31.6568,1922,Apr
131.384,1922,May
66.1748,1922,Jun
133.445,1922,Jul
161.638,1922,Aug
99.4186,1922,Sep
56.2964,1922,Oct
11.2138,1922,Nov
3.34864,1922,Dec
0.05907,1923,Jan
33.4559,1923,Feb
58.4666,1923,Mar
104.586,1923,Apr
125.102,1923,May
74.0678,1923,Jun
114.966,1923,Jul
149.702,1923,Aug
173.435,1923,Sep
63.628,1923,Oct
53.0462,1923,Nov
15.187,1923,Dec
7.38461,1924,Jan
18.8035,1924,Feb
55.6966,1924,Mar
92.7216,1924,Apr
72.8941,1924,May
86.4418,1924,Jun
130.154,1924,Jul
161.754,1924,Aug
94.3704,1924,Sep
48.2539,1924,Oct
9.47054,1924,Nov
9.85429,1924,Dec
7.15945,1925,Jan
16.8709,1925,Feb
21.1331,1925,Mar
38.7182,1925,Apr
106.238,1925,May
87.515,1925,Jun
141.096,1925,Jul
133.883,1925,Aug
97.1679,1925,Sep
96.5901,1925,Oct
109.875,1925,Nov
12.2413,1925,Dec
14.48,1926,Jan
35.0455,1926,Feb
52.5288,1926,Mar
131.193,1926,Apr
175.901,1926,May
88.6085,1926,Jun
126.187,1926,Jul
148.838,1926,Aug
114.136,1926,Sep
55.4186,1926,Oct
36.9364,1926,Nov
2.36444,1926,Dec
1.13655,1927,Jan
13.1574,1927,Feb
25.8822,1927,Mar
80.2595,1927,Apr
84.255,1927,May
69.3564,1927,Jun
142.031,1927,Jul
129.799,1927,Aug
124.08,1927,Sep
20.6066,1927,Oct
27.9059,1927,Nov
5.44093,1927,Dec
6.60994,1928,Jan
8.79927,1928,Feb
32.9675,1928,Mar
88.5478,1928,Apr
128.924,1928,May
74.2741,1928,Jun
130.386,1928,Jul
167.061,1928,Aug
46.8738,1928,Sep
54.0757,1928,Oct
82.4925,1928,Nov
4.29219,1928,Dec
2.16502,1929,Jan
16.0645,1929,Feb
16.1154,1929,Mar
85.7013,1929,Apr
99.185,1929,May
93.8024,1929,Jun
142.707,1929,Jul
158.229,1929,Aug
142.293,1929,Sep
81.1958,1929,Oct
17.4974,1929,Nov
23.0498,1929,Dec
32.3493,1930,Jan
21.651,1930,Feb
75.0195,1930,Mar
133.735,1930,Apr
71.1238,1930,May
84.4311,1930,Jun
148.32,1930,Jul
116.813,1930,Aug
73.7143,1930,Sep
75.4806,1930,Oct
12.1608,1930,Nov
30.8138,1930,Dec
7.38885,1931,Jan
24.2602,1931,Feb
50.0113,1931,Mar
53.9526,1931,Apr
115.321,1931,May
64.9982,1931,Jun
122.892,1931,Jul
154.518,1931,Aug
116.952,1931,Sep
63.8163,1931,Oct
12.904,1931,Nov
1.7429,1931,Dec
1.38978,1932,Jan
3.63571,1932,Feb
67.0792,1932,Mar
52.3605,1932,Apr
103.996,1932,May
68.9669,1932,Jun
146.784,1932,Jul
193.092,1932,Aug
128.048,1932,Sep
27.3928,1932,Oct
9.58184,1932,Nov
34.0758,1932,Dec
8.16073,1933,Jan
14.9795,1933,Feb
20.5541,1933,Mar
73.312,1933,Apr
74.9945,1933,May
68.3747,1933,Jun
125.221,1933,Jul
158.085,1933,Aug
94.6353,1933,Sep
54.0599,1933,Oct
35.8076,1933,Nov
6.37481,1933,Dec
1.14492,1934,Jan
5.18774,1934,Feb
29.4633,1934,Mar
71.717,1934,Apr
120.585,1934,May
113.579,1934,Jun
157.659,1934,Jul
128.275,1934,Aug
78.7359,1934,Sep
44.8746,1934,Oct
14.5071,1934,Nov
12.4065,1934,Dec
0.78667,1935,Jan
12.7931,1935,Feb
24.8684,1935,Mar
93.1871,1935,Apr
234.067,1935,May
85.7665,1935,Jun
91.8553,1935,Jul
164.767,1935,Aug
153.982,1935,Sep
35.6684,1935,Oct
30.1493,1935,Nov
10.1292,1935,Dec
28.6546,1936,Jan
61.0133,1936,Feb
59.8086,1936,Mar
110.31,1936,Apr
71.7227,1936,May
86.241,1936,Jun
151.69,1936,Jul
160.815,1936,Aug
104.935,1936,Sep
57.5419,1936,Oct
20.0654,1936,Nov
11.9809,1936,Dec
12.5444,1937,Jan
29.2381,1937,Feb
67.6983,1937,Mar
76.7448,1937,Apr
108.626,1937,May
